title,director,year,originalTitle
The Postman Always Rings Twice,Tay Garnett,1946,
Let There Be Light,John Huston,1946,
The Mask of Diijon,Lew Landers,1946,
Night Editor,Henry Levin,1946,
A Night in Casablanca,Archie Mayo,1946,
Strange Triangle,Ray McCarey,1946,
Crack-Up,Irving Reis,1946,
Bedlam,Mark Robson,1946,
The Big Sleep,Howard Hawks,1946,
Strange Impersonation,Anthony Mann,1946,
A Scandal in Paris,Douglas Sirk,1946,
Suspense,Frank Tuttle,1946,
The Stranger,Orson Welles,1946,
Decoy,Jack Bernhard,1946,
I've Always Loved You,Frank Borzage,1946,
Anna and the King of Siam,John Cromwell,1946,
Whistle Stop,LÈonide Moguy,1946,
O.S.S.,Irving Pichel,1946,
Temptation,Irving Pichel,1946,
Tomorrow is Forever,Irving Pichel,1946,
Deception,Irving Rapper,1946,
The Chase,Arthur Ripley,1946,
The Harvey Girls,George Sidney,1946,
Hare Remover,Frank Tashlin,1946,
Gilda,Charles Vidor,1946,
The Glass Alibi,W. Lee Wilder,1946,
The Best Years of Our Lives,William Wyler,1946,
The Yearling,Clarence Brown,1946,
Deadline at Dawn,Harold Clurman,1946,
Night and Day,Michael Curtiz,1946,
Till the End of Time,Edward Dmytryk,1946,
The Virginian,Stuart Gilmore,1946,
13 Rue Madeleine,Henry Hathaway,1946,
The Dark Corner,Henry Hathaway,1946,
Blue Skies,Stuart Heisler,1946,
Cluny Brown,Ernst Lubitsch,1946,
Nocturne,Edwin L. Marin,1946,
Humoresque,Jean Negulesco,1946,
Nobody Lives Forever,Jean Negulesco,1946,
Three Strangers,Jean Negulesco,1946,
Shadow of a Woman,Joseph Santley,1946,
The Dark Mirror,Robert Siodmak,1946,
The Killers,Robert Siodmak,1946,
George Stevens World War II Footage,George Stevens,1946,
Her Sister's Secret,Edgar G. Ulmer,1946,
The Strange Woman,Edgar G. Ulmer,1946,
Inside Job,Jean Yarbrough,1946,
Fear,Alfred Zeisler,1946,
Book Revue,Robert Clampett,1946,
The Great Piggy Bank Robbery,Robert Clampett,1946,
The Razor's Edge,Edmund Goulding,1946,
The Jolson Story,Alfred E. Green,1946,
To Each His Own,Mitchell Leisen,1946,
So Dark the Night,Joseph H. Lewis,1946,
The Blue Dahlia,George Marshall,1946,
The Strange Love of Martha Ivers,Lewis Milestone,1946,
Face of Marble,William Beaudine,1946,
Notorious,Alfred Hitchcock,1946,
The Kid from Brooklyn,Norman Z. McLeod,1946,
Canyon Passage,Jacques Tourneur,1946,
Shock,Alfred L. Werker,1946,
Dirty Gertie from Harlem U.S.A.,Spencer Williams,1946,
Child of Divorce,Richard Fleischer,1946,
Undercurrent,Vincente Minnelli,1946,
Black Angel,Roy William Neill,1946,
They Made Me a Killer,William C. Thomas,1946,
Her Kind of Man,Frederick De Cordova,1946,
Somewhere in the Night,Joseph L. Mankiewicz,1946,
Ivy,Sam Wood,1947,
King-Size Canary,Tex Avery,1947,
The Brasher Doubloon,John Brahm,1947,
Singapore,John Brahm,1947,
Boomerang!,Elia Kazan,1947,
Gentleman's Agreement,Elia Kazan,1947,
The Exile,Max Oph¸ls,1947,
Desert Fury,Lewis Allen,1947,
Calcutta,John Farrow,1947,
Mother Wore Tights,Walter Lang,1947,
The Arnelo Affair,Arch Oboler,1947,
The Woman on the Beach,Jean Renoir,1947,
Film No.3: Interwoven,Harry Smith,1947,
The Man I Love,Raoul Walsh,1947,
Pursued,Raoul Walsh,1947,
Born to Kill,Robert Wise,1947,
The Flame,John H. Auer,1947,
A Double Life,George Cukor,1947,
Brute Force,Jules Dassin,1947,
Dark Passage,Delmer Daves,1947,
The Red House,Delmer Daves,1947,
Backlash,Eugene Forde,1947,
The Lost Moment,Martin Gabel,1947,
The Macomber Affair,Zoltan Korda,1947,
The Bishop's Wife,Henry Koster,1947,
The Private Affairs of Bel Ami,Albert Lewin,1947,
Desperate,Anthony Mann,1947,
Railroaded!,Anthony Mann,1947,
T-Men,Anthony Mann,1947,
Dreams That Money Can Buy,Hans Richter,1947,
Lured,Douglas Sirk,1947,
Riff-Raff,Ted Tetzlaff,1947,
The Gangster,Gordon Wiles,1947,
Fireworks,Kenneth Anger,1947,
Shoot to Kill,William Berke,1947,
Violence,Jack Bernhard,1947,
Dead Reckoning,John Cromwell,1947,
The Other Love,AndrÈ de Toth,1947,
Ramrod,AndrÈ de Toth,1947,
Queen of the Amazons,Edward Finney,1947,
The Two Mrs. Carrolls,Peter Godfrey,1947,
Blind Spot,Robert Gordon,1947,
They Won't Believe Me,Irving Pichel,1947,
The Voice of the Turtle,Irving Rapper,1947,
Song of Scheherazade,Walter Reisch,1947,
Body and Soul,Robert Rossen,1947,
Johnny O'Clock,Robert Rossen,1947,
Miracle on 34th Street,George Seaton,1947,
Fear in the Night,Maxwell Shane,1947,
Cass Timberlane,George Sidney,1947,
The Way of Peace,Frank Tashlin,1947,
Love from a Stranger,Richard Whorf,1947,
The Pretender,W. Lee Wilder,1947,
Life with Father,Michael Curtiz,1947,
The Unsuspected,Michael Curtiz,1947,
Crossfire,Edward Dmytryk,1947,
The Devil Thumbs a Ride,Felix E. Feist,1947,
The Web,Michael Gordon,1947,
Kiss of Death,Henry Hathaway,1947,
The Long Night,Anatole Litvak,1947,
Deep Valley,Jean Negulesco,1947,
My Favorite Brunette,Elliott Nugent,1947,
Daisy Kenyon,Otto Preminger,1947,
Forever Amber,Otto Preminger,1947,
Moss Rose,Gregory Ratoff,1947,
For You I Die,John Reinhardt,1947,
The Guilty,John Reinhardt,1947,
High Tide,John Reinhardt,1947,
Monsieur Verdoux,Charles Chaplin,1947,
Nightmare Alley,Edmund Goulding,1947,
Blackmail,Lesley Selander,1947,
Nora Prentiss,Vincent Sherman,1947,
The Unfaithful,Vincent Sherman,1947,
The Sin of Harold Diddlebock,Preston Sturges,1947,
Bury Me Dead,Bernard Vorhaus,1947,
Framed,Richard Wallace,1947,
Good News,Charles Walters,1947,
High Wall,Curtis Bernhardt,1947,
Possessed,Curtis Bernhardt,1947,
Unconquered,Cecil B. DeMille,1947,
Motion Painting No. 1,Oskar Fischinger,1947,
The Paradine Case,Alfred Hitchcock,1947,
Fall Guy,Reginald Le Borg,1947,
Key Witness,D. Ross Lederman,1947,
The Secret Life of Walter Mitty,Norman Z. McLeod,1947,
Out of the Past,Jacques Tourneur,1947,
Repeat Performance,Alfred L. Werker,1947,
The Senator Was Indiscreet,George S. Kaufman,1947,
Lady in the Lake,Robert Montgomery,1947,
Ride the Pink Horse,Robert Montgomery,1947,
Angel and the Badman,James Edward Grant,1947,
The Ghost and Mrs. Muir,Joseph L. Mankiewicz,1947,
The Late George Apley,Joseph L. Mankiewicz,1947,
The Cat That Hated People,Tex Avery,1948,
3 Godfathers,John Ford,1948,
Fort Apache,John Ford,1948,
The Velvet Touch,Jack Gage,1948,
Casbah,John Berry,1948,
Meditation on Violence,Maya Deren,1948,
Secret Beyond the Door,Fritz Lang,1948,
Letter from an Unknown Woman,Max Oph¸ls,1948,
State of the Union,Frank Capra,1948,
The Argyle Secrets,Cy Endfield,1948,
The Big Clock,John Farrow,1948,
Night Has a Thousand Eyes,John Farrow,1948,
Strange Victory,Leo Hurwitz,1948,
Key Largo,John Huston,1948,
The Treasure of the Sierra Madre,John Huston,1948,
Inner Sanctum,Lew Landers,1948,
Sitting Pretty,Walter Lang,1948,
The Man from Colorado,Henry Levin,1948,
Good Sam,Leo McCarey,1948,
Mr. Blandings Builds His Dream House,H.C. Potter,1948,
All My Sons,Irving Reis,1948,
Enchantment,Irving Reis,1948,
Silver River,Raoul Walsh,1948,
Blood on the Moon,Robert Wise,1948,
The Naked City,Jules Dassin,1948,
I Walk Alone,Byron Haskin,1948,
Red River,Howard Hawks,1948,
The Boy with Green Hair,Joseph Losey,1948,
Raw Deal,Anthony Mann,1948,
The Dark Past,Rudolph MatÈ,1948,
Money Madness,Sam Newfield,1948,
I Wouldn't Be in Your Shoes,William Nigh,1948,
They Live by Night,Nicholas Ray,1948,
Hollow Triumph,Steve Sekely,1948,
My Love Sleep,Douglas Sirk,1948,
The Sign of the Ram,John Sturges,1948,
The Lady from Shanghai,Orson Welles,1948,
Macbeth,Orson Welles,1948,
Canon City,Crane Wilbur,1948,
A Foreign Affair,Billy Wilder,1948,
Blonde Ice,Jack Bernhard,1948,
The Hunted,Jack Bernhard,1948,
Moonrise,Frank Borzage,1948,
Pitfall,AndrÈ de Toth,1948,
Kiss the Blood Off My Hands,Norman Foster,1948,
Wake of the Red Witch,Edward Ludwig,1948,
The Quiet One,Sidney Meyers,1948,
The Three Musketeers,George Sidney,1948,
The Walls of Jericho,John M. Stahl,1948,
Abbott and Costello Meet Frankenstein,Charles Barton,1948,
Walk a Crooked Mile,Gordon Douglas,1948,
Joan of Arc,Victor Fleming,1948,
Call Northside 777,Henry Hathaway,1948,
The Snake Pit,Anatole Litvak,1948,
Wrong Number Sorry,Anatole Litvak,1948,
Race Street,Edwin L. Marin,1948,
Johnny Belinda,Jean Negulesco,1948,
Road House,Jean Negulesco,1948,
Larceny,George Sherman,1948,
Cry of the City,Robert Siodmak,1948,
I Remember Mama,George Stevens,1948,
Ruthless,Edgar G. Ulmer,1948,
Shed No Tears,Jean Yarbrough,1948,
Inc. Parole,Alfred Zeisler,1948,
The Search,Fred Zinnemann,1948,
Behind Locked Doors,Budd Boetticher,1948,
Louisiana Story,Robert Flaherty,1948,
Four Faces West,Alfred E. Green,1948,
The Petrified Dog,Sidney Peterson,1948,
I Love Trouble,S. Sylvan Simon,1948,
Unfaithfully Yours,Preston Sturges,1948,
The Amazing Mr. X,Bernard Vorhaus,1948,
Easter Parade,Charles Walters,1948,
The Iron Curtain,William Wellman,1948,
Yellow Sky,William Wellman,1948,
Incident,William Beaudine,1948,
Portrait of Jennie,William Dieterle,1948,
Rope,Alfred Hitchcock,1948,
The Street with No Name,William Keighley,1948,
Summer Holiday,Rouben Mamoulian,1948,
The Paleface,Norman Z. McLeod,1948,
Force of Evil,Abraham Polonsky,1948,
To the Ends of the Earth,Robert Stevenson,1948,
Berlin Express,Jacques Tourneur,1948,
He Walked by Night,Alfred L. Werker,1948,
Bodyguard,Richard Fleischer,1948,
The Pirate,Vincente Minnelli,1948,
So Dear to My Heart,Harold D. Schuster,1948,
In the Street,Helen Levitt et al.,1948,
Bad Luck Blackie,Tex Avery,1949,
Little Rural Riding Hood,Tex Avery,1949,
SeÒor Droopy,Tex Avery,1949,
She Wore a Yellow Ribbon,John Ford,1949,
Sands of Iwo Jima,Allan Dwan,1949,
Prince of Foxes,Henry King,1949,
Twelve O'Clock High,Henry King,1949,
Caught,Max Oph¸ls,1949,
The Reckless Moment,Max Oph¸ls,1949,
Strange Bargain,Will Price,1949,
Tarzan's Magic Fountain,Lee Sholem,1949,
The Big Steal,Don Siegel,1949,
Beyond the Forest,King Vidor,1949,
The Fountainhead,King Vidor,1949,
Chicago Deadline,Lewis Allen,1949,
It Happens Every Spring,Lloyd Bacon,1949,
Alias Nick Beal,John Farrow,1949,
We Were Strangers,John Huston,1949,
Fast and Furry-ous,Chuck Jones,1949,
Champion,Mark Robson,1949,
Home of the Brave,Mark Robson,1949,
Scene of the Crime,Roy Rowland,1949,
Colorado Territory,Raoul Walsh,1949,
White Heat,Raoul Walsh,1949,
The Set-Up,Robert Wise,1949,
Adam's Rib,George Cukor,1949,
Thieves' Highway,Jules Dassin,1949,
Task Force,Delmer Daves,1949,
Always Leave Them Laughing,Roy Del Ruth,1949,
Red Light,Roy Del Ruth,1949,
Riders in the Sky,John English,1949,
Too Late for Tears,Byron Haskin,1949,
I Was a Male War Bride,Howard Hawks,1949,
The Inspector General,Henry Koster,1949,
Little Women,Mervyn LeRoy,1949,
Impact,Arthur Lubin,1949,
Border Incident,Anthony Mann,1949,
Reign of Terror,Anthony Mann,1949,
Knock on Any Door,Nicholas Ray,1949,
A Woman's Secret,Nicholas Ray,1949,
Shockproof,Douglas Sirk,1949,
A Dangerous Profession,Ted Tetzlaff,1949,
The Window,Ted Tetzlaff,1949,
Puce Moment,Kenneth Anger,1949,
The Crooked Way,Robert Florey,1949,
I Shot Jesse James,Samuel Fuller,1949,
C-Man,Joseph Lerner,1949,
Without Honor,Irving Pichel,1949,
All the King's Men,Robert Rossen,1949,
City Across the River,Maxwell Shane,1949,
The Red Danube,George Sidney,1949,
The Heiress,William Wyler,1949,
Port of New York,Laszlo Benedek,1949,
Take Me Out to the Ball Game,Busby Berkeley,1949,
Intruder in the Dust,Clarence Brown,1949,
Johnny Stool Pigeon,William Castle,1949,
Undertow,William Castle,1949,
Flamingo Road,Michael Curtiz,1949,
My Dream is Yours,Michael Curtiz,1949,
The Threat,Felix E. Feist,1949,
The Lady Gambles,Michael Gordon,1949,
The Fighting O'Flynn,Arthur Pierson,1949,
Whirlpool,Otto Preminger,1949,
Criss Cross,Robert Siodmak,1949,
The Great Sinner,Robert Siodmak,1949,
The Secret Garden,Fred M. Wilcox,1949,
Act of Violence,Fred Zinnemann,1949,
Flaxy Martin,Richard L. Bare,1949,
Take One False Step,Chester Erskine,1949,
El Paso,Lewis R. Foster,1949,
Manhandled,Lewis R. Foster,1949,
The Undercover Man,Joseph H. Lewis,1949,
Jigsaw,Fletcher Markle,1949,
The Red Pony,Lewis Milestone,1949,
The Lead Shoes,Sidney Peterson,1949,
Mr. Frenhofer and the Minotaur,Sidney Peterson,1949,
The Barkleys of Broadway,Charles Walters,1949,
Battleground,William Wellman,1949,
Samson and Delilah,Cecil B. DeMille,1949,
The Accused,William Dieterle,1949,
Rope of Sand,William Dieterle,1949,
Chinatown at Midnight,Seymour Friedman,1949,
Abandoned,Joseph M. Newman,1949,
The Woman on Pier 13,Robert Stevenson,1949,
The Clay Pigeon,Richard Fleischer,1949,
Follow Me Quietly,Richard Fleischer,1949,
Trapped,Richard Fleischer,1949,
The Bribe,Robert Z. Leonard,1949,
Madame Bovary,Vincente Minnelli,1949,
Illegal Entry,Frederick De Cordova,1949,
House of Strangers,Joseph L. Mankiewicz,1949,
A Letter to Three Wives,Joseph L. Mankiewicz,1949,
Mighty Joe Young,Ernest B. Schoedsack,1949,
Rio Grande,John Ford,1950,
Wagon Master,John Ford,1950,
Tension,John Berry,1950,
Surrender,Allan Dwan,1950,
The Secret Fury,Mel Ferrer,1950,
Panic in the Streets,Elia Kazan,1950,
The Gunfighter,Henry King,1950,
American Guerrilla in the Philippines,Fritz Lang,1950,
House by the River,Fritz Lang,1950,
Never Fear,Ida Lupino,1950,
Outrage,Ida Lupino,1950,
Try and Get Me!,Cy Endfield,1950,
The Underworld Story,Cy Endfield,1950,
Where Danger Lives,John Farrow,1950,
The Asphalt Jungle,John Huston,1950,
Shadow on the Wall,Pat Jackson,1950,
The Ducksters,Chuck Jones,1950,
Rabbit of Seville,Chuck Jones,1950,
The Scarlet Pumpernickel,Chuck Jones,1950,
Convicted,Henry Levin,1950,
The Killer That Stalked New York,Earl McEvoy,1950,
Edge of Doom,Mark Robson,1950,
The Sun Sets at Dawn,Paul Sloane,1950,
Born Yesterday,George Cukor,1950,
Broken Arrow,Delmer Daves,1950,
Harvey,Henry Koster,1950,
The Lawless,Joseph Losey,1950,
Devil's Doorway,Anthony Mann,1950,
The Furies,Anthony Mann,1950,
Side Street,Anthony Mann,1950,
Winchester '73,Anthony Mann,1950,
D.O.A.,Rudolph MatÈ,1950,
Union Station,Rudolph MatÈ,1950,
Dial 1119,Gerald Mayer,1950,
Rocket Ship X-M,Kurt Neumann,1950,
Born to Be Bad,Nicholas Ray,1950,
In a Lonely Place,Nicholas Ray,1950,
The Capture,John Sturges,1950,
Mystery Street,John Sturges,1950,
Gambling House,Ted Tetzlaff,1950,
Outside the Wall,Crane Wilbur,1950,
Sunset Blvd.,Billy Wilder,1950,
Rabbit's Moon,Kenneth Anger,1950,
Julius Caesar,David Bradley,1950,
Gerald McBoing-Boing,Robert Cannon,1950,
Caged,John Cromwell,1950,
Woman on the Run,Norman Foster,1950,
The Baron of Arizona,Samuel Fuller,1950,
Southside 1-1000,Boris Ingster,1950,
Guilty Bystander,Joseph Lerner,1950,
Shakedown,Joseph Pevney,1950,
Destination Moon,Irving Pichel,1950,
Quicksand,Irving Pichel,1950,
The Big Lift,George Seaton,1950,
Annie Get Your Gun,George Sidney,1950,
Once a Thief,W. Lee Wilder,1950,
Destination Murder,Edward L. Cahn,1950,
The Breaking Point,Michael Curtiz,1950,
Young Man with a Horn,Michael Curtiz,1950,
Between Midnight and Dawn,Gordon Douglas,1950,
Kiss Tomorrow Goodbye,Gordon Douglas,1950,
The Man Who Cheated Himself,Felix E. Feist,1950,
One Way Street,Hugo Fregonese,1950,
Cyrano de Bergerac,Michael Gordon,1950,
Woman in Hiding,Michael Gordon,1950,
Three Came Home,Jean Negulesco,1950,
Where the Sidewalk Ends,Otto Preminger,1950,
The Sleeping City,George Sherman,1950,
The File on Thelma Jordon,Robert Siodmak,1950,
Black Hand,Richard Thorpe,1950,
Three Little Words,Richard Thorpe,1950,
The Men,Fred Zinnemann,1950,
This Side of the Law,Richard L. Bare,1950,
The Jackie Robinson Story,Alfred E. Green,1950,
No Man of Her Own,Mitchell Leisen,1950,
Gun Crazy,Joseph H. Lewis,1950,
A Lady Without Passport,Joseph H. Lewis,1950,
The Tattooed Stranger,Edward Montagne,1950,
Backfire,Vincent Sherman,1950,
The Damned Don't Cry,Vincent Sherman,1950,
Harriet Craig,Vincent Sherman,1950,
Highway 301,Andrew L. Stone,1950,
Summer Stock,Charles Walters,1950,
The Next Voice You HearÖ,William Wellman,1950,
Dark City,William Dieterle,1950,
711 Ocean Drive,Joseph M. Newman,1950,
Stranger Walk Softly,Robert Stevenson,1950,
The Flame and the Arrow,Jacques Tourneur,1950,
Stars in My Crown,Jacques Tourneur,1950,
Armored Car Robbery,Richard Fleischer,1950,
Father of the Bride,Vincente Minnelli,1950,
Hunt the Man Down,George Archainbaud,1950,
All About Eve,Joseph L. Mankiewicz,1950,
No Way Out,Joseph L. Mankiewicz,1950,
Pickup,Hugo Haas,1951,
He Ran All the Way,John Berry,1951,
A Streetcar Named Desire,Elia Kazan,1951,
David and Bathsheba,Henry King,1951,
Fast and Beautiful Hard,Ida Lupino,1951,
Lightning Strikes Twice,King Vidor,1951,
Appointment with Danger,Lewis Allen,1951,
The Scarf,E.A. Dupont,1951,
His Kind of Woman,John Farrow,1951,
Cause for Alarm!,Tay Garnett,1951,
Fuddy Duddy Buddy,John Hubley,1951,
The African Queen,John Huston,1951,
The Red Badge of Courage,John Huston,1951,
Chow Hound,Chuck Jones,1951,
Two of a Kind,Henry Levin,1951,
The Barefoot Mailman,Earl McEvoy,1951,
The Hoodlum,Max Nosseck,1951,
Five,Arch Oboler,1951,
Distant Drums,Raoul Walsh,1951,
The Day the Earth Stood Still,Robert Wise,1951,
The House on Telegraph Hill,Robert Wise,1951,
On Moonlight Bay,Roy Del Ruth,1951,
Quo Vadis,Mervyn LeRoy,1951,
The Big Night,Joseph Losey,1951,
M,Joseph Losey,1951,
The Prowler,Joseph Losey,1951,
The Tall Target,Anthony Mann,1951,
When Worlds Collide,Rudolph MatÈ,1951,
On Dangerous Ground,Nicholas Ray,1951,
The People Against O'Hara,John Sturges,1951,
Under the Gun,Ted Tetzlaff,1951,
The Magic Face,Frank Tuttle,1951,
Ace in the Hole,Billy Wilder,1951,
The Racket,John Cromwell,1951,
Royal Wedding,Stanley Donen,1951,
Fixed Bayonets!,Samuel Fuller,1951,
The Steel Helmet,Samuel Fuller,1951,
The Strip,L·szlÛ Kardos,1951,
The Second Woman,James V. Kern,1951,
Duck and Cover,Anthony Rizzo,1951,
Show Boat,George Sidney,1951,
Detective Story,William Wyler,1951,
Death of a Salesman,Laszlo Benedek,1951,
Hollywood Story,William Castle,1951,
Roadblock,Harold Daniels,1951,
I Was a Communist for the F.B.I.,Gordon Douglas,1951,
Tomorrow is Another Day,Felix E. Feist,1951,
Apache Drums,Hugo Fregonese,1951,
The Desert Fox,Henry Hathaway,1951,
Fourteen Hours,Henry Hathaway,1951,
Rawhide,Henry Hathaway,1951,
Storm Warning,Stuart Heisler,1951,
Kon-Tiki,Thor Heyerdahl,1951,
Decision Before Dawn,Anatole Litvak,1951,
Take Care of My Little Girl,Jean Negulesco,1951,
Cry Danger,Robert Parrish,1951,
The Mob,Robert Parrish,1951,
The 13th Letter,Otto Preminger,1951,
The Raging Tide,George Sherman,1951,
A Place in the Sun,George Stevens,1951,
The Unknown Man,Richard Thorpe,1951,
Bullfighter and the Lady,Budd Boetticher,1951,
Chained for Life,Harry L. Fraser,1951,
No Questions Asked,Harold F. Kress,1951,
Day of the Fight,Stanley Kubrick,1951,
The Mating Season,Mitchell Leisen,1951,
Night Into Morning,Fletcher Markle,1951,
The Man with My Face,Edward Montagne,1951,
Across the Wide Missouri,William Wellman,1951,
Westward the Women,William Wellman,1951,
Sirocco,Curtis Bernhardt,1951,
Strangers on a Train,Alfred Hitchcock,1951,
Anne of the Indies,Jacques Tourneur,1951,
An American in Paris,Vincente Minnelli,1951,
Notes on the Port of St. Francis,Frank Stauffacher,1951,
The Enforcer,Bretaigne Windust,1951,
The Medium,Gian Carlo Menotti,1951,
Bedtime for Bonzo,Frederick De Cordova,1951,
People Will Talk,Joseph L. Mankiewicz,1951,
Magical Maestro,Tex Avery,1952,
The Quiet Man,John Ford,1952,
Strange Fascination,Hugo Haas,1952,
Viva Zapata!,Elia Kazan,1952,
The Snows of Kilimanjaro,Henry King,1952,
Nellie Wait 'Til the Sun Shines,Henry King,1952,
Clash by Night,Fritz Lang,1952,
Rancho Notorious,Fritz Lang,1952,
Japanese War Bride,King Vidor,1952,
Ruby Gentry,King Vidor,1952,
One Minute to Zero,Tay Garnett,1952,
Hangman's Knot,Roy Huggins,1952,
Moulin Rouge,John Huston,1952,
Beep,Chuck Jones,1952,
Feed the Kitty,Chuck Jones,1952,
Rabbit Seasoning,Chuck Jones,1952,
Hoodlum Empire,Joseph Kane,1952,
Little Sheba Come Back,Daniel Mann,1952,
My Son John,Leo McCarey,1952,
Bwana Devil,Arch Oboler,1952,
the Pirate Blackbeard,Raoul Walsh,1952,
The World in His Arms,Raoul Walsh,1952,
The Captive City,Robert Wise,1952,
The Marrying Kind,George Cukor,1952,
Pat and Mike,George Cukor,1952,
The Big Sky,Howard Hawks,1952,
Monkey Business,Howard Hawks,1952,
My Lovely Beware,Harry Horner,1952,
Red Planet Mars,Harry Horner,1952,
Kansas City Confidential,Phil Karlson,1952,
Scandal Sheet,Phil Karlson,1952,
Without Warning,Arnold Laven,1952,
Bend of the River,Anthony Mann,1952,
The Sellout,Gerald Mayer,1952,
Sudden Fear,David Miller,1952,
The Lusty Men,Nicholas Ray,1952,
Has Anybody Seen My Gal?,Douglas Sirk,1952,
Meet Me at the Fair,Douglas Sirk,1952,
Talk About a Stranger,David Bradley,1952,
Park Row,Samuel Fuller,1952,
Caribbean,Edward Ludwig,1952,
The Thief,Russell Rouse,1952,
The Pathfinder,Sidney Salkow,1952,
Scaramouche,George Sidney,1952,
Son of Paleface,Frank Tashlin,1952,
Carrie,William Wyler,1952,
Don't Bother to Knock,Roy Ward Baker,1952,
Night Without Sleep,Roy Ward Baker,1952,
Deadline U.S.A.,Richard Brooks,1952,
The Sniper,Edward Dmytryk,1952,
The Iron Mistress,Gordon Douglas,1952,
This Woman is Dangerous,Felix E. Feist,1952,
The Star,Stuart Heisler,1952,
Water Birds,Ben Sharpsteen,1952,
The Crimson Pirate,Robert Siodmak,1952,
Ivanhoe,Richard Thorpe,1952,
The Prisoner of Zenda,Richard Thorpe,1952,
High Noon,Fred Zinnemann,1952,
The Member of the Wedding,Fred Zinnemann,1952,
Red Ball Express,Budd Boetticher,1952,
Zombies of the Stratosphere,Fred C. Brannon,1952,
Limelight,Charles Chaplin,1952,
Invasion U.S.A.,Alfred E. Green,1952,
Hell! Retreat,Joseph H. Lewis,1952,
Affair in Trinidad,Vincent Sherman,1952,
The Steel Trap,Andrew L. Stone,1952,
This is Cinerama,Merian C. Cooper,1952,
The Greatest Show on Earth,Cecil B. DeMille,1952,
The Turning Point,William Dieterle,1952,
Loan Shark,Seymour Friedman,1952,
The Las Vegas Story,Robert Stevenson,1952,
Way of a Gaucho,Jacques Tourneur,1952,
Walk East on Beacon!,Alfred L. Werker,1952,
The Happy Time,Richard Fleischer,1952,
The Narrow Margin,Richard Fleischer,1952,
The Bad and the Beautiful,Vincente Minnelli,1952,
Macao,Josef von Sternberg,1952,
Five Fingers,Joseph L. Mankiewicz,1952,
I Love Melvin,Don Weis,1953,
Mogambo,John Ford,1953,
The Sun Shines Bright,John Ford,1953,
The Woman They Almost Lynched,Allan Dwan,1953,
The Big Heat,Fritz Lang,1953,
The Blue Gardenia,Fritz Lang,1953,
The Bigamist,Ida Lupino,1953,
The Hitch-Hiker,Ida Lupino,1953,
The Living Desert,James Algar,1953,
The Glass Web,Jack Arnold,1953,
It Came From Outer Space,Jack Arnold,1953,
the Jury I,Harry Essex,1953,
Hondo,John Farrow,1953,
Bully for Bugs,Chuck Jones,1953,
Duck Amuck,Chuck Jones,1953,
Duck Dodgers in the 24Ωth Century,Chuck Jones,1953,
Fair Wind to Java,Joseph Kane,1953,
Man in the Dark,Lew Landers,1953,
Call Me Madam,Walter Lang,1953,
Split Second,Dick Powell,1953,
The 5,Roy Rowland,1953,
Robot Monster,Phil Tucker,1953,
City That Never Sleeps,John H. Auer,1953,
Calamity Jane,David Butler,1953,
The Actress,George Cukor,1953,
His Majesty O'Keefe,Byron Haskin,1953,
The War of the Worlds,Byron Haskin,1953,
Gentlemen Prefer Blondes,Howard Hawks,1953,
Vicki,Harry Horner,1953,
Gunsmoke,Nathan Juran,1953,
99 River Street,Phil Karlson,1953,
The Robe,Henry Koster,1953,
The Naked Spur,Anthony Mann,1953,
Thunder Bay,Anthony Mann,1953,
Second Chance,Rudolph MatÈ,1953,
The Tell-Tale Heart,Ted Parmelee,1953,
The System,Lewis Seiler,1953,
All I Desire,Douglas Sirk,1953,
Take Me to Town,Douglas Sirk,1953,
Escape from Fort Bravo,John Sturges,1953,
Jeopardy,John Sturges,1953,
Stalag 17,Billy Wilder,1953,
Eaux d'artifice,Kenneth Anger,1953,
House of Wax,AndrÈ de Toth,1953,
Give a Girl a Break,Stanley Donen,1953,
Pickup on South Street,Samuel Fuller,1953,
The Joe Louis Story,Robert Gordon,1953,
The Beast From 20,Eugene Lourie,1953,
Sangaree,Edward Ludwig,1953,
Back to God's Country,Joseph Pevney,1953,
Wicked Woman,Russell Rouse,1953,
The Glass Wall,Maxwell Shane,1953,
Kiss Me Kate,George Sidney,1953,
Young Bess,George Sidney,1953,
The Caddy,Norman Taurog,1953,
Roman Holiday,William Wyler,1953,
Inferno,Roy Ward Baker,1953,
The Wild One,Laszlo Benedek,1953,
Fort Ti,William Castle,1953,
The Charge at Feather River,Gordon Douglas,1953,
Donovan's Brain,Felix E. Feist,1953,
The Man Behind the Gun,Felix E. Feist,1953,
Blowing Wild,Hugo Fregonese,1953,
Man in the Attic,Hugo Fregonese,1953,
Niagara,Henry Hathaway,1953,
Abbott and Costello Go to Mars,Charles Lamont,1953,
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Charles Lamont,1953,
How to Marry a Millionaire,Jean Negulesco,1953,
Angel Face,Otto Preminger,1953,
The Moon is Blue,Otto Preminger,1953,
Shane,George Stevens,1953,
All the Brothers Were Valiant,Richard Thorpe,1953,
Knights of the Round Table,Richard Thorpe,1953,
From Here to Eternity,Fred Zinnemann,1953,
No Escape,Charles Bennett,1953,
The Man from the Alamo,Budd Boetticher,1953,
Cry of the Hunted,Joseph H. Lewis,1953,
Daybreak Express,D.A. Pennebaker,1953,
A Blueprint for Murder,Andrew L. Stone,1953,
